,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
0,1,0,0,65,8,0,0,0,0,0,0,0,0,0,0,0,70,500,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,70,0,0,15,85,0,0,0,0,85,85,0,171,100,0,200,100,300,100,0,80,0,0,0,0,0,200,54,0,0,0,0,61,0,0,0,0,0,0,0,0,0,208500
1,2,10,0,80,9,0,0,0,0,100,0,10,100,0,0,100,60,800,1,10,0,0,10,10,100,0,100,0,100,0,0,100,100,97,0,0,28,126,0,0,0,0,126,0,0,126,0,100,200,0,300,100,100,60,0,100,0,10,0,200,46,0,0,0,298,0,0,0,0,0,0,10,100,0,0,181500
2,3,0,0,68,11,0,100,0,0,0,0,0,0,0,0,0,70,500,2,20,0,0,0,0,0,16,0,0,0,0,0,200,0,48,0,0,43,92,0,0,0,0,92,86,0,178,100,0,200,100,300,100,0,60,0,100,0,20,0,200,60,0,0,0,0,42,0,0,0,0,0,20,0,0,0,223500
3,4,20,0,60,9,0,100,0,0,200,0,20,0,0,0,0,70,500,3,30,0,0,20,20,100,0,100,0,200,100,100,0,100,21,0,0,54,75,0,100,0,0,96,75,0,171,100,0,100,0,300,100,0,70,0,100,100,30,100,300,64,0,0,0,0,35,272,0,0,0,0,0,200,0,100,140000
4,5,0,0,84,14,0,100,0,0,100,0,30,0,0,0,0,80,500,4,40,0,0,0,0,0,35,0,0,0,0,0,300,0,65,0,0,49,114,0,0,0,0,114,105,0,219,100,0,200,100,400,100,0,90,0,100,0,40,0,300,83,0,0,0,192,84,0,0,0,0,0,30,0,0,0,250000
5,6,30,0,85,14,0,100,0,0,0,0,40,0,0,0,200,50,500,5,50,0,0,0,0,100,0,100,0,300,0,0,0,0,73,0,0,6,79,0,0,0,0,79,56,0,136,100,0,100,100,100,100,100,50,0,0,0,50,100,200,48,0,0,0,40,30,0,320,0,0,7,40,300,0,0,143000
6,7,10,0,75,10,0,0,0,0,0,0,50,0,0,0,100,80,500,6,60,0,0,0,0,200,18,0,0,0,200,0,300,0,136,0,0,31,168,0,0,0,0,169,0,0,169,100,0,200,0,300,100,0,70,0,100,0,60,0,200,63,0,0,0,255,57,0,0,0,0,0,50,100,0,0,307000
7,8,0,0,79,10,0,100,0,0,200,0,60,200,0,0,0,70,600,7,70,0,0,30,30,200,24,100,0,100,0,0,200,100,85,100,3,21,110,0,0,0,0,110,98,0,209,100,0,200,100,300,100,100,70,0,200,0,70,0,200,48,0,0,0,235,204,228,0,0,0,3,60,300,0,0,200000
8,9,30,100,51,6,0,0,0,0,0,0,70,300,0,0,200,70,500,8,80,0,0,40,20,100,0,100,0,200,100,0,0,200,0,0,0,95,95,0,100,0,100,102,75,0,177,0,0,200,0,200,200,100,80,100,200,100,80,100,200,46,100,0,0,90,0,205,0,0,0,0,70,0,0,100,129900
9,10,40,0,50,7,0,0,0,0,200,0,80,300,100,100,300,50,600,9,80,0,0,10,10,100,0,100,0,200,100,0,0,0,85,0,0,14,99,0,0,0,0,107,0,0,107,100,0,100,0,200,200,100,50,0,200,0,90,0,100,20,200,0,0,0,4,0,0,0,0,0,80,0,0,0,118000
10,11,10,0,70,11,0,0,0,0,0,0,90,0,0,0,100,50,500,10,90,100,0,30,30,100,0,100,0,100,100,0,0,300,90,0,0,13,104,0,0,0,0,104,0,0,104,100,0,100,0,300,100,100,50,0,0,100,100,100,100,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129500
11,12,0,0,85,11,0,100,0,0,0,0,100,0,0,0,0,90,500,11,100,100,0,50,20,200,28,200,0,0,200,0,0,0,99,0,0,17,117,0,0,0,0,118,114,0,232,100,0,300,0,400,100,200,110,0,200,200,110,200,300,73,0,0,0,147,21,0,0,0,0,0,90,200,100,200,345000
12,13,10,0,67,12,0,200,0,0,0,0,90,0,0,0,100,50,600,12,110,100,0,30,40,100,0,100,0,100,100,0,0,100,73,0,0,17,91,0,200,0,0,91,0,0,91,100,0,100,0,200,100,100,40,0,0,100,120,100,100,35,0,0,0,140,0,0,0,176,0,0,20,0,0,0,144000
