,PassengerId,Survived,Pclass,Age,Sex,SibSp,Parch,Embarked
0,1,0,3,22.0,male,1,0,S
1,2,1,1,38.0,female,1,0,C
2,3,1,3,26.0,female,0,0,S
3,4,1,1,35.0,female,1,0,S
4,5,0,3,35.0,male,0,0,S
6,7,0,1,54.0,male,0,0,S
7,8,0,3,2.0,male,3,1,S
8,9,1,3,27.0,female,0,2,S
9,10,1,2,14.0,female,1,0,C
10,11,1,3,4.0,female,1,1,S
11,12,1,1,58.0,female,0,0,S
12,13,0,3,20.0,male,0,0,S
13,14,0,3,39.0,male,1,5,S
14,15,0,3,14.0,female,0,0,S
15,16,1,2,55.0,female,0,0,S
16,17,0,3,2.0,male,4,1,Q
18,19,0,3,31.0,female,1,0,S
20,21,0,2,35.0,male,0,0,S
21,22,1,2,34.0,male,0,0,S
22,23,1,3,15.0,female,0,0,Q
23,24,1,1,28.0,male,0,0,S
24,25,0,3,8.0,female,3,1,S
25,26,1,3,38.0,female,1,5,S
27,28,0,1,19.0,male,3,2,S
30,31,0,1,40.0,male,0,0,C
33,34,0,2,66.0,male,0,0,S
34,35,0,1,28.0,male,1,0,C
35,36,0,1,42.0,male,1,0,S
37,38,0,3,21.0,male,0,0,S
38,39,0,3,18.0,female,2,0,S
39,40,1,3,14.0,female,1,0,C
40,41,0,3,40.0,female,1,0,S
41,42,0,2,27.0,female,1,0,S
43,44,1,2,3.0,female,1,2,C
44,45,1,3,19.0,female,0,0,Q
49,50,0,3,18.0,female,1,0,S
50,51,0,3,7.0,male,4,1,S
51,52,0,3,21.0,male,0,0,S
52,53,1,1,49.0,female,1,0,C
53,54,1,2,29.0,female,1,0,S
54,55,0,1,65.0,male,0,1,C
56,57,1,2,21.0,female,0,0,S
57,58,0,3,28.5,male,0,0,C
58,59,1,2,5.0,female,1,2,S
59,60,0,3,11.0,male,5,2,S
60,61,0,3,22.0,male,0,0,C
61,62,1,1,38.0,female,0,0,
62,63,0,1,45.0,male,1,0,S
63,64,0,3,4.0,male,3,2,S
66,67,1,2,29.0,female,0,0,S
67,68,0,3,19.0,male,0,0,S
68,69,1,3,17.0,female,4,2,S
69,70,0,3,26.0,male,2,0,S
70,71,0,2,32.0,male,0,0,S
71,72,0,3,16.0,female,5,2,S
72,73,0,2,21.0,male,0,0,S
73,74,0,3,26.0,male,1,0,C
74,75,1,3,32.0,male,0,0,S
75,76,0,3,25.0,male,0,0,S
78,79,1,2,0.83,male,0,2,S
79,80,1,3,30.0,female,0,0,S
80,81,0,3,22.0,male,0,0,S
81,82,1,3,29.0,male,0,0,S
83,84,0,1,28.0,male,0,0,S
84,85,1,2,17.0,female,0,0,S
85,86,1,3,33.0,female,3,0,S
86,87,0,3,16.0,male,1,3,S
88,89,1,1,23.0,female,3,2,S
89,90,0,3,24.0,male,0,0,S
90,91,0,3,29.0,male,0,0,S
91,92,0,3,20.0,male,0,0,S
92,93,0,1,46.0,male,1,0,S
93,94,0,3,26.0,male,1,2,S
94,95,0,3,59.0,male,0,0,S
96,97,0,1,71.0,male,0,0,C
97,98,1,1,23.0,male,0,1,C
98,99,1,2,34.0,female,0,1,S
99,100,0,2,34.0,male,1,0,S
100,101,0,3,28.0,female,0,0,S
102,103,0,1,21.0,male,0,1,S
103,104,0,3,33.0,male,0,0,S
104,105,0,3,37.0,male,2,0,S
105,106,0,3,28.0,male,0,0,S
106,107,1,3,21.0,female,0,0,S
108,109,0,3,38.0,male,0,0,S
110,111,0,1,47.0,male,0,0,S
111,112,0,3,14.5,female,1,0,C
112,113,0,3,22.0,male,0,0,S
113,114,0,3,20.0,female,1,0,S
114,115,0,3,17.0,female,0,0,C
115,116,0,3,21.0,male,0,0,S
116,117,0,3,70.5,male,0,0,Q
117,118,0,2,29.0,male,1,0,S
118,119,0,1,24.0,male,0,1,C
119,120,0,3,2.0,female,4,2,S
120,121,0,2,21.0,male,2,0,S
122,123,0,2,32.5,male,1,0,C
123,124,1,2,32.5,female,0,0,S
124,125,0,1,54.0,male,0,1,S
125,126,1,3,12.0,male,1,0,C
127,128,1,3,24.0,male,0,0,S
129,130,0,3,45.0,male,0,0,S
130,131,0,3,33.0,male,0,0,C
131,132,0,3,20.0,male,0,0,S
132,133,0,3,47.0,female,1,0,S
133,134,1,2,29.0,female,1,0,S
134,135,0,2,25.0,male,0,0,S
135,136,0,2,23.0,male,0,0,C
136,137,1,1,19.0,female,0,2,S
137,138,0,1,37.0,male,1,0,S
138,139,0,3,16.0,male,0,0,S
139,140,0,1,24.0,male,0,0,C
141,142,1,3,22.0,female,0,0,S
142,143,1,3,24.0,female,1,0,S
143,144,0,3,19.0,male,0,0,Q
144,145,0,2,18.0,male,0,0,S
145,146,0,2,19.0,male,1,1,S
146,147,1,3,27.0,male,0,0,S
147,148,0,3,9.0,female,2,2,S
148,149,0,2,36.5,male,0,2,S
149,150,0,2,42.0,male,0,0,S
150,151,0,2,51.0,male,0,0,S
151,152,1,1,22.0,female,1,0,S
152,153,0,3,55.5,male,0,0,S
153,154,0,3,40.5,male,0,2,S
155,156,0,1,51.0,male,0,1,C
156,157,1,3,16.0,female,0,0,Q
157,158,0,3,30.0,male,0,0,S
160,161,0,3,44.0,male,0,1,S
161,162,1,2,40.0,female,0,0,S
162,163,0,3,26.0,male,0,0,S
163,164,0,3,17.0,male,0,0,S
164,165,0,3,1.0,male,4,1,S
165,166,1,3,9.0,male,0,2,S
167,168,0,3,45.0,female,1,4,S
169,170,0,3,28.0,male,0,0,S
170,171,0,1,61.0,male,0,0,S
171,172,0,3,4.0,male,4,1,Q
172,173,1,3,1.0,female,1,1,S
173,174,0,3,21.0,male,0,0,S
174,175,0,1,56.0,male,0,0,C
175,176,0,3,18.0,male,1,1,S
177,178,0,1,50.0,female,0,0,C
178,179,0,2,30.0,male,0,0,S
179,180,0,3,36.0,male,0,0,S
