,PassengerId,Survived,Pclass,Age,Sex,SibSp,Parch,Embarked
0,1,0,3,22.0,male,1,0,S
1,2,1,1,38.0,female,1,0,C
2,3,1,3,26.0,female,0,0,S
3,4,1,1,35.0,female,1,0,S
4,5,0,3,35.0,male,0,0,S
5,7,0,1,54.0,male,0,0,S
6,8,0,3,2.0,male,3,1,S
7,9,1,3,27.0,female,0,2,S
8,10,1,2,14.0,female,1,0,C
9,11,1,3,4.0,female,1,1,S
10,12,1,1,58.0,female,0,0,S
11,13,0,3,20.0,male,0,0,S
12,14,0,3,39.0,male,1,5,S
13,15,0,3,14.0,female,0,0,S
14,16,1,2,55.0,female,0,0,S
15,17,0,3,2.0,male,4,1,Q
16,19,0,3,31.0,female,1,0,S
17,21,0,2,35.0,male,0,0,S
18,22,1,2,34.0,male,0,0,S
19,23,1,3,15.0,female,0,0,Q
20,24,1,1,28.0,male,0,0,S
21,25,0,3,8.0,female,3,1,S
22,26,1,3,38.0,female,1,5,S
23,28,0,1,19.0,male,3,2,S
24,31,0,1,40.0,male,0,0,C
25,34,0,2,66.0,male,0,0,S
26,35,0,1,28.0,male,1,0,C
27,36,0,1,42.0,male,1,0,S
28,38,0,3,21.0,male,0,0,S
29,39,0,3,18.0,female,2,0,S
30,40,1,3,14.0,female,1,0,C
31,41,0,3,40.0,female,1,0,S
32,42,0,2,27.0,female,1,0,S
33,44,1,2,3.0,female,1,2,C
34,45,1,3,19.0,female,0,0,Q
35,50,0,3,18.0,female,1,0,S
36,51,0,3,7.0,male,4,1,S
37,52,0,3,21.0,male,0,0,S
38,53,1,1,49.0,female,1,0,C
39,54,1,2,29.0,female,1,0,S
40,55,0,1,65.0,male,0,1,C
41,57,1,2,21.0,female,0,0,S
42,58,0,3,28.5,male,0,0,C
43,59,1,2,5.0,female,1,2,S
44,60,0,3,11.0,male,5,2,S
45,61,0,3,22.0,male,0,0,C
46,62,1,1,38.0,female,0,0,
47,63,0,1,45.0,male,1,0,S
48,64,0,3,4.0,male,3,2,S
49,67,1,2,29.0,female,0,0,S
50,68,0,3,19.0,male,0,0,S
51,69,1,3,17.0,female,4,2,S
52,70,0,3,26.0,male,2,0,S
53,71,0,2,32.0,male,0,0,S
54,72,0,3,16.0,female,5,2,S
55,73,0,2,21.0,male,0,0,S
56,74,0,3,26.0,male,1,0,C
57,75,1,3,32.0,male,0,0,S
58,76,0,3,25.0,male,0,0,S
59,79,1,2,0.83,male,0,2,S
60,80,1,3,30.0,female,0,0,S
61,81,0,3,22.0,male,0,0,S
62,82,1,3,29.0,male,0,0,S
63,84,0,1,28.0,male,0,0,S
64,85,1,2,17.0,female,0,0,S
65,86,1,3,33.0,female,3,0,S
66,87,0,3,16.0,male,1,3,S
67,89,1,1,23.0,female,3,2,S
68,90,0,3,24.0,male,0,0,S
69,91,0,3,29.0,male,0,0,S
70,92,0,3,20.0,male,0,0,S
71,93,0,1,46.0,male,1,0,S
72,94,0,3,26.0,male,1,2,S
73,95,0,3,59.0,male,0,0,S
74,97,0,1,71.0,male,0,0,C
75,98,1,1,23.0,male,0,1,C
76,99,1,2,34.0,female,0,1,S
77,100,0,2,34.0,male,1,0,S
78,101,0,3,28.0,female,0,0,S
79,103,0,1,21.0,male,0,1,S
80,104,0,3,33.0,male,0,0,S
81,105,0,3,37.0,male,2,0,S
82,106,0,3,28.0,male,0,0,S
83,107,1,3,21.0,female,0,0,S
84,109,0,3,38.0,male,0,0,S
85,111,0,1,47.0,male,0,0,S
86,112,0,3,14.5,female,1,0,C
87,113,0,3,22.0,male,0,0,S
88,114,0,3,20.0,female,1,0,S
89,115,0,3,17.0,female,0,0,C
90,116,0,3,21.0,male,0,0,S
91,117,0,3,70.5,male,0,0,Q
92,118,0,2,29.0,male,1,0,S
93,119,0,1,24.0,male,0,1,C
94,120,0,3,2.0,female,4,2,S
95,121,0,2,21.0,male,2,0,S
96,123,0,2,32.5,male,1,0,C
97,124,1,2,32.5,female,0,0,S
98,125,0,1,54.0,male,0,1,S
99,126,1,3,12.0,male,1,0,C
100,128,1,3,24.0,male,0,0,S
101,130,0,3,45.0,male,0,0,S
102,131,0,3,33.0,male,0,0,C
103,132,0,3,20.0,male,0,0,S
104,133,0,3,47.0,female,1,0,S
105,134,1,2,29.0,female,1,0,S
106,135,0,2,25.0,male,0,0,S
107,136,0,2,23.0,male,0,0,C
108,137,1,1,19.0,female,0,2,S
109,138,0,1,37.0,male,1,0,S
110,139,0,3,16.0,male,0,0,S
111,140,0,1,24.0,male,0,0,C
112,142,1,3,22.0,female,0,0,S
113,143,1,3,24.0,female,1,0,S
114,144,0,3,19.0,male,0,0,Q
115,145,0,2,18.0,male,0,0,S
116,146,0,2,19.0,male,1,1,S
117,147,1,3,27.0,male,0,0,S
118,148,0,3,9.0,female,2,2,S
119,149,0,2,36.5,male,0,2,S
120,150,0,2,42.0,male,0,0,S
121,151,0,2,51.0,male,0,0,S
122,152,1,1,22.0,female,1,0,S
123,153,0,3,55.5,male,0,0,S
124,154,0,3,40.5,male,0,2,S
125,156,0,1,51.0,male,0,1,C
126,157,1,3,16.0,female,0,0,Q
127,158,0,3,30.0,male,0,0,S
128,161,0,3,44.0,male,0,1,S
129,162,1,2,40.0,female,0,0,S
130,163,0,3,26.0,male,0,0,S
131,164,0,3,17.0,male,0,0,S
132,165,0,3,1.0,male,4,1,S
133,166,1,3,9.0,male,0,2,S
134,168,0,3,45.0,female,1,4,S
135,170,0,3,28.0,male,0,0,S
136,171,0,1,61.0,male,0,0,S
137,172,0,3,4.0,male,4,1,Q
138,173,1,3,1.0,female,1,1,S
139,174,0,3,21.0,male,0,0,S
140,175,0,1,56.0,male,0,0,C
141,176,0,3,18.0,male,1,1,S
142,178,0,1,50.0,female,0,0,C
143,179,0,2,30.0,male,0,0,S
144,180,0,3,36.0,male,0,0,S
